ID,Match,Date,Teams,Ground,Result,Scorecard,Season,Winner,Margin,Day_of_Week,Month,Year,Team1,Team2
845,21,2021-04-26,Kolkata Knight Riders v Punjab Kings,Ahmedabad,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0845,2021.0,Kolkata Knight Riders,5 Wickets,Monday,April,2021,Kolkata Knight Riders,Punjab Kings
846,22,2021-04-27,Delhi Capitals v Royal Challengers Bengaluru,Ahmedabad,Royal Challengers Bengaluru won by 1 Run,MatchScorecard.asp?MatchCode=0846,2021.0,Royal Challengers Bengaluru,1 Run,Tuesday,April,2021,Delhi Capitals,Royal Challengers Bengaluru
847,23,2021-04-28,Chennai Super Kings v Sunrisers Hyderabad,Delhi,Chennai Super Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0847,2021.0,Chennai Super Kings,7 Wickets,Wednesday,April,2021,Chennai Super Kings,Sunrisers Hyderabad
848,24,2021-04-29,Mumbai Indians v Rajasthan Royals,Delhi,Mumbai Indians won by 7 Wickets,MatchScorecard.asp?MatchCode=0848,2021.0,Mumbai Indians,7 Wickets,Thursday,April,2021,Mumbai Indians,Rajasthan Royals
849,25,2021-04-29,Delhi Capitals v Kolkata Knight Riders,Ahmedabad,Delhi Capitals won by 7 Wickets,MatchScorecard.asp?MatchCode=0849,2021.0,Delhi Capitals,7 Wickets,Thursday,April,2021,Delhi Capitals,Kolkata Knight Riders
850,26,2021-04-30,Punjab Kings v Royal Challengers Bengaluru,Ahmedabad,Punjab Kings won by 34 Runs,MatchScorecard.asp?MatchCode=0850,2021.0,Punjab Kings,34 Runs,Friday,April,2021,Punjab Kings,Royal Challengers Bengaluru
851,27,2021-05-01,Chennai Super Kings v Mumbai Indians,Delhi,Mumbai Indians won by 4 Wickets,MatchScorecard.asp?MatchCode=0851,2021.0,Mumbai Indians,4 Wickets,Saturday,May,2021,Chennai Super Kings,Mumbai Indians
852,28,2021-05-02,Rajasthan Royals v Sunrisers Hyderabad,Delhi,Rajasthan Royals won by 55 Runs,MatchScorecard.asp?MatchCode=0852,2021.0,Rajasthan Royals,55 Runs,Sunday,May,2021,Rajasthan Royals,Sunrisers Hyderabad
853,29,2021-05-02,Delhi Capitals v Punjab Kings,Ahmedabad,Delhi Capitals won by 7 Wickets,MatchScorecard.asp?MatchCode=0853,2021.0,Delhi Capitals,7 Wickets,Sunday,May,2021,Delhi Capitals,Punjab Kings
854,30,2021-09-19,Chennai Super Kings v Mumbai Indians,Dubai,Chennai Super Kings won by 20 Runs,MatchScorecard.asp?MatchCode=0854,2021.0,Chennai Super Kings,20 Runs,Sunday,September,2021,Chennai Super Kings,Mumbai Indians
855,31,2021-09-20,Kolkata Knight Riders v Royal Challengers Bengaluru,Abu Dhabi,Kolkata Knight Riders won by 9 Wickets,MatchScorecard.asp?MatchCode=0855,2021.0,Kolkata Knight Riders,9 Wickets,Monday,September,2021,Kolkata Knight Riders,Royal Challengers Bengaluru
856,32,2021-09-21,Punjab Kings v Rajasthan Royals,Dubai,Rajasthan Royals won by 2 Runs,MatchScorecard.asp?MatchCode=0856,2021.0,Rajasthan Royals,2 Runs,Tuesday,September,2021,Punjab Kings,Rajasthan Royals
857,33,2021-09-22,Delhi Capitals v Sunrisers Hyderabad,Dubai,Delhi Capitals won by 8 Wickets,MatchScorecard.asp?MatchCode=0857,2021.0,Delhi Capitals,8 Wickets,Wednesday,September,2021,Delhi Capitals,Sunrisers Hyderabad
858,34,2021-09-23,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Kolkata Knight Riders won by 7 Wickets,MatchScorecard.asp?MatchCode=0858,2021.0,Kolkata Knight Riders,7 Wickets,Thursday,September,2021,Kolkata Knight Riders,Mumbai Indians
859,35,2021-09-24,Chennai Super Kings v Royal Challengers Bengaluru,Sharjah,Chennai Super Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0859,2021.0,Chennai Super Kings,6 Wickets,Friday,September,2021,Chennai Super Kings,Royal Challengers Bengaluru
860,36,2021-09-25,Delhi Capitals v Rajasthan Royals,Abu Dhabi,Delhi Capitals won by 33 Runs,MatchScorecard.asp?MatchCode=0860,2021.0,Delhi Capitals,33 Runs,Saturday,September,2021,Delhi Capitals,Rajasthan Royals
861,37,2021-09-25,Punjab Kings v Sunrisers Hyderabad,Sharjah,Punjab Kings won by 5 Runs,MatchScorecard.asp?MatchCode=0861,2021.0,Punjab Kings,5 Runs,Saturday,September,2021,Punjab Kings,Sunrisers Hyderabad
862,38,2021-09-26,Chennai Super Kings v Kolkata Knight Riders,Abu Dhabi,Chennai Super Kings won by 2 Wickets,MatchScorecard.asp?MatchCode=0862,2021.0,Chennai Super Kings,2 Wickets,Sunday,September,2021,Chennai Super Kings,Kolkata Knight Riders
863,39,2021-09-26,Mumbai Indians v Royal Challengers Bengaluru,Dubai,Royal Challengers Bengaluru won by 54 Runs,MatchScorecard.asp?MatchCode=0863,2021.0,Royal Challengers Bengaluru,54 Runs,Sunday,September,2021,Mumbai Indians,Royal Challengers Bengaluru
864,40,2021-09-27,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 7 Wickets,MatchScorecard.asp?MatchCode=0864,2021.0,Sunrisers Hyderabad,7 Wickets,Monday,September,2021,Rajasthan Royals,Sunrisers Hyderabad
865,41,2021-09-28,Delhi Capitals v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 3 Wickets,MatchScorecard.asp?MatchCode=0866,2021.0,Kolkata Knight Riders,3 Wickets,Tuesday,September,2021,Delhi Capitals,Kolkata Knight Riders
866,42,2021-09-28,Mumbai Indians v Punjab Kings,Abu Dhabi,Mumbai Indians won by 6 Wickets,MatchScorecard.asp?MatchCode=0865,2021.0,Mumbai Indians,6 Wickets,Tuesday,September,2021,Mumbai Indians,Punjab Kings
867,43,2021-09-29,Rajasthan Royals v Royal Challengers Bengaluru,Dubai,Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0867,2021.0,Royal Challengers Bengaluru,7 Wickets,Wednesday,September,2021,Rajasthan Royals,Royal Challengers Bengaluru
868,44,2021-09-30,Chennai Super Kings v Sunrisers Hyderabad,Sharjah,Chennai Super Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0868,2021.0,Chennai Super Kings,6 Wickets,Thursday,September,2021,Chennai Super Kings,Sunrisers Hyderabad
869,45,2021-10-01,Kolkata Knight Riders v Punjab Kings,Dubai,Punjab Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0869,2021.0,Punjab Kings,5 Wickets,Friday,October,2021,Kolkata Knight Riders,Punjab Kings
870,46,2021-10-02,Delhi Capitals v Mumbai Indians,Sharjah,Delhi Capitals won by 4 Wickets,MatchScorecard.asp?MatchCode=0870,2021.0,Delhi Capitals,4 Wickets,Saturday,October,2021,Delhi Capitals,Mumbai Indians
871,47,2021-10-02,Chennai Super Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets,MatchScorecard.asp?MatchCode=0871,2021.0,Rajasthan Royals,7 Wickets,Saturday,October,2021,Chennai Super Kings,Rajasthan Royals
872,48,2021-10-03,Punjab Kings v Royal Challengers Bengaluru,Sharjah,Royal Challengers Bengaluru won by 6 Runs,MatchScorecard.asp?MatchCode=0872,2021.0,Royal Challengers Bengaluru,6 Runs,Sunday,October,2021,Punjab Kings,Royal Challengers Bengaluru
873,49,2021-10-03,Kolkata Knight Riders v Sunrisers Hyderabad,Dubai,Kolkata Knight Riders won by 6 Wickets,MatchScorecard.asp?MatchCode=0873,2021.0,Kolkata Knight Riders,6 Wickets,Sunday,October,2021,Kolkata Knight Riders,Sunrisers Hyderabad
874,50,2021-10-04,Chennai Super Kings v Delhi Capitals,Dubai,Delhi Capitals won by 3 Wickets,MatchScorecard.asp?MatchCode=0874,2021.0,Delhi Capitals,3 Wickets,Monday,October,2021,Chennai Super Kings,Delhi Capitals
875,51,2021-10-05,Mumbai Indians v Rajasthan Royals,Sharjah,Mumbai Indians won by 8 Wickets,MatchScorecard.asp?MatchCode=0875,2021.0,Mumbai Indians,8 Wickets,Tuesday,October,2021,Mumbai Indians,Rajasthan Royals
876,52,2021-10-06,Royal Challengers Bengaluru v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 4 Runs,MatchScorecard.asp?MatchCode=0876,2021.0,Sunrisers Hyderabad,4 Runs,Wednesday,October,2021,Royal Challengers Bengaluru,Sunrisers Hyderabad
877,53,2021-10-07,Chennai Super Kings v Punjab Kings,Dubai,Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0877,2021.0,Punjab Kings,6 Wickets,Thursday,October,2021,Chennai Super Kings,Punjab Kings
878,54,2021-10-07,Kolkata Knight Riders v Rajasthan Royals,Sharjah,Kolkata Knight Riders won by 86 Runs,MatchScorecard.asp?MatchCode=0878,2021.0,Kolkata Knight Riders,86 Runs,Thursday,October,2021,Kolkata Knight Riders,Rajasthan Royals
879,55,2021-10-08,Mumbai Indians v Sunrisers Hyderabad,Abu Dhabi,Mumbai Indians won by 42 Runs,MatchScorecard.asp?MatchCode=0879,2021.0,Mumbai Indians,42 Runs,Friday,October,2021,Mumbai Indians,Sunrisers Hyderabad
880,56,2021-10-08,Delhi Capitals v Royal Challengers Bengaluru,Dubai,Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0880,2021.0,Royal Challengers Bengaluru,7 Wickets,Friday,October,2021,Delhi Capitals,Royal Challengers Bengaluru
881,1st Qualifying Final,2021-10-10,Chennai Super Kings v Delhi Capitals,Dubai,Chennai Super Kings won by 4 Wickets,MatchScorecard.asp?MatchCode=0881,2021.0,Chennai Super Kings,4 Wickets,Sunday,October,2021,Chennai Super Kings,Delhi Capitals
882,1st Elimination Final,2021-10-11,Kolkata Knight Riders v Royal Challengers Bengaluru,Sharjah,Kolkata Knight Riders won by 4 Wickets,MatchScorecard.asp?MatchCode=0882,2021.0,Kolkata Knight Riders,4 Wickets,Monday,October,2021,Kolkata Knight Riders,Royal Challengers Bengaluru
883,2nd Qualifying Final,2021-10-13,Delhi Capitals v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 3 Wickets,MatchScorecard.asp?MatchCode=0883,2021.0,Kolkata Knight Riders,3 Wickets,Wednesday,October,2021,Delhi Capitals,Kolkata Knight Riders
884,Final,2021-10-15,Chennai Super Kings v Kolkata Knight Riders,Dubai,Chennai Super Kings won by 27 Runs,MatchScorecard.asp?MatchCode=0884,2021.0,Chennai Super Kings,27 Runs,Friday,October,2021,Chennai Super Kings,Kolkata Knight Riders
885,1,2022-03-26,Chennai Super Kings v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 6 Wickets,MatchScorecard.asp?MatchCode=0885,2022.0,Kolkata Knight Riders,6 Wickets,Saturday,March,2022,Chennai Super Kings,Kolkata Knight Riders
886,2,2022-03-27,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 4 Wickets,MatchScorecard.asp?MatchCode=0886,2022.0,Delhi Capitals,4 Wickets,Sunday,March,2022,Mumbai Indians,Delhi Capitals
887,3,2022-03-27,Punjab Kings v Royal Challengers Bengaluru,Mumbai,Punjab Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0887,2022.0,Punjab Kings,5 Wickets,Sunday,March,2022,Punjab Kings,Royal Challengers Bengaluru
888,4,2022-03-28,Gujarat Titans v Lucknow Super Giants,Mumbai,Gujarat Titans won by 5 Wickets,MatchScorecard.asp?MatchCode=0888,2022.0,Gujarat Titans,5 Wickets,Monday,March,2022,Gujarat Titans,Lucknow Super Giants
889,5,2022-03-29,Rajasthan Royals v Sunrisers Hyderabad,Pune,Rajasthan Royals won by 61 Runs,MatchScorecard.asp?MatchCode=0889,2022.0,Rajasthan Royals,61 Runs,Tuesday,March,2022,Rajasthan Royals,Sunrisers Hyderabad
890,6,2022-03-30,Kolkata Knight Riders v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 3 Wickets,MatchScorecard.asp?MatchCode=0890,2022.0,Royal Challengers Bengaluru,3 Wickets,Wednesday,March,2022,Kolkata Knight Riders,Royal Challengers Bengaluru
891,7,2022-03-31,Chennai Super Kings v Lucknow Super Giants,Mumbai,Lucknow Super Giants won by 6 Wickets,MatchScorecard.asp?MatchCode=0891,2022.0,Lucknow Super Giants,6 Wickets,Thursday,March,2022,Chennai Super Kings,Lucknow Super Giants
892,8,2022-04-01,Kolkata Knight Riders v Punjab Kings,Mumbai,Kolkata Knight Riders won by 6 Wickets,MatchScorecard.asp?MatchCode=0892,2022.0,Kolkata Knight Riders,6 Wickets,Friday,April,2022,Kolkata Knight Riders,Punjab Kings
893,10,2022-04-02,Delhi Capitals v Gujarat Titans,Pune,Gujarat Titans won by 14 Runs,MatchScorecard.asp?MatchCode=0894,2022.0,Gujarat Titans,14 Runs,Saturday,April,2022,Delhi Capitals,Gujarat Titans
894,9,2022-04-02,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 23 Runs,MatchScorecard.asp?MatchCode=0893,2022.0,Rajasthan Royals,23 Runs,Saturday,April,2022,Mumbai Indians,Rajasthan Royals
895,11,2022-04-03,Chennai Super Kings v Punjab Kings,Mumbai,Punjab Kings won by 54 Runs,MatchScorecard.asp?MatchCode=0895,2022.0,Punjab Kings,54 Runs,Sunday,April,2022,Chennai Super Kings,Punjab Kings
896,12,2022-04-04,Lucknow Super Giants v Sunrisers Hyderabad,Mumbai,Lucknow Super Giants won by 12 Runs,MatchScorecard.asp?MatchCode=0896,2022.0,Lucknow Super Giants,12 Runs,Monday,April,2022,Lucknow Super Giants,Sunrisers Hyderabad
897,13,2022-04-05,Rajasthan Royals v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 4 Wickets,MatchScorecard.asp?MatchCode=0897,2022.0,Royal Challengers Bengaluru,4 Wickets,Tuesday,April,2022,Rajasthan Royals,Royal Challengers Bengaluru
898,14,2022-04-06,Kolkata Knight Riders v Mumbai Indians,Pune,Kolkata Knight Riders won by 5 Wickets,MatchScorecard.asp?MatchCode=0898,2022.0,Kolkata Knight Riders,5 Wickets,Wednesday,April,2022,Kolkata Knight Riders,Mumbai Indians
899,15,2022-04-07,Delhi Capitals v Lucknow Super Giants,Mumbai,Lucknow Super Giants won by 6 Wickets,MatchScorecard.asp?MatchCode=0899,2022.0,Lucknow Super Giants,6 Wickets,Thursday,April,2022,Delhi Capitals,Lucknow Super Giants
900,16,2022-04-08,Gujarat Titans v Punjab Kings,Mumbai,Gujarat Titans won by 6 Wickets,MatchScorecard.asp?MatchCode=0900,2022.0,Gujarat Titans,6 Wickets,Friday,April,2022,Gujarat Titans,Punjab Kings
901,17,2022-04-09,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 8 Wickets,MatchScorecard.asp?MatchCode=0901,2022.0,Sunrisers Hyderabad,8 Wickets,Saturday,April,2022,Chennai Super Kings,Sunrisers Hyderabad
902,18,2022-04-09,Mumbai Indians v Royal Challengers Bengaluru,Pune,Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0902,2022.0,Royal Challengers Bengaluru,7 Wickets,Saturday,April,2022,Mumbai Indians,Royal Challengers Bengaluru
903,19,2022-04-10,Delhi Capitals v Kolkata Knight Riders,Mumbai,Delhi Capitals won by 44 Runs,MatchScorecard.asp?MatchCode=0903,2022.0,Delhi Capitals,44 Runs,Sunday,April,2022,Delhi Capitals,Kolkata Knight Riders
904,20,2022-04-10,Lucknow Super Giants v Rajasthan Royals,Mumbai,Rajasthan Royals won by 3 Runs,MatchScorecard.asp?MatchCode=0904,2022.0,Rajasthan Royals,3 Runs,Sunday,April,2022,Lucknow Super Giants,Rajasthan Royals
905,21,2022-04-11,Gujarat Titans v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 8 Wickets,MatchScorecard.asp?MatchCode=0905,2022.0,Sunrisers Hyderabad,8 Wickets,Monday,April,2022,Gujarat Titans,Sunrisers Hyderabad
906,22,2022-04-12,Chennai Super Kings v Royal Challengers Bengaluru,Mumbai,Chennai Super Kings won by 23 Runs,MatchScorecard.asp?MatchCode=0906,2022.0,Chennai Super Kings,23 Runs,Tuesday,April,2022,Chennai Super Kings,Royal Challengers Bengaluru
907,23,2022-04-13,Mumbai Indians v Punjab Kings,Pune,Punjab Kings won by 12 Runs,MatchScorecard.asp?MatchCode=0907,2022.0,Punjab Kings,12 Runs,Wednesday,April,2022,Mumbai Indians,Punjab Kings
908,24,2022-04-14,Gujarat Titans v Rajasthan Royals,Mumbai,Gujarat Titans won by 37 Runs,MatchScorecard.asp?MatchCode=0908,2022.0,Gujarat Titans,37 Runs,Thursday,April,2022,Gujarat Titans,Rajasthan Royals
909,25,2022-04-15,Kolkata Knight Riders v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 7 Wickets,MatchScorecard.asp?MatchCode=0909,2022.0,Sunrisers Hyderabad,7 Wickets,Friday,April,2022,Kolkata Knight Riders,Sunrisers Hyderabad
910,26,2022-04-16,Mumbai Indians v Lucknow Super Giants,Mumbai,Lucknow Super Giants won by 18 Runs,MatchScorecard.asp?MatchCode=0910,2022.0,Lucknow Super Giants,18 Runs,Saturday,April,2022,Mumbai Indians,Lucknow Super Giants
911,27,2022-04-16,Delhi Capitals v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 16 Runs,MatchScorecard.asp?MatchCode=0911,2022.0,Royal Challengers Bengaluru,16 Runs,Saturday,April,2022,Delhi Capitals,Royal Challengers Bengaluru
912,28,2022-04-17,Punjab Kings v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 7 Wickets,MatchScorecard.asp?MatchCode=0912,2022.0,Sunrisers Hyderabad,7 Wickets,Sunday,April,2022,Punjab Kings,Sunrisers Hyderabad
913,29,2022-04-17,Chennai Super Kings v Gujarat Titans,Pune,Gujarat Titans won by 3 Wickets,MatchScorecard.asp?MatchCode=0913,2022.0,Gujarat Titans,3 Wickets,Sunday,April,2022,Chennai Super Kings,Gujarat Titans
914,30,2022-04-18,Kolkata Knight Riders v Rajasthan Royals,Mumbai,Rajasthan Royals won by 7 Runs,MatchScorecard.asp?MatchCode=0914,2022.0,Rajasthan Royals,7 Runs,Monday,April,2022,Kolkata Knight Riders,Rajasthan Royals
915,31,2022-04-19,Lucknow Super Giants v Royal Challengers Bengaluru,Mumbai,Royal Challengers Bengaluru won by 18 Runs,MatchScorecard.asp?MatchCode=0915,2022.0,Royal Challengers Bengaluru,18 Runs,Tuesday,April,2022,Lucknow Super Giants,Royal Challengers Bengaluru
916,32,2022-04-20,Delhi Capitals v Punjab Kings,Mumbai,Delhi Capitals won by 9 Wickets,MatchScorecard.asp?MatchCode=0916,2022.0,Delhi Capitals,9 Wickets,Wednesday,April,2022,Delhi Capitals,Punjab Kings
917,33,2022-04-21,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 3 Wickets,MatchScorecard.asp?MatchCode=0917,2022.0,Chennai Super Kings,3 Wickets,Thursday,April,2022,Mumbai Indians,Chennai Super Kings
918,34,2022-04-22,Delhi Capitals v Rajasthan Royals,Mumbai,Rajasthan Royals won by 15 Runs,MatchScorecard.asp?MatchCode=0918,2022.0,Rajasthan Royals,15 Runs,Friday,April,2022,Delhi Capitals,Rajasthan Royals
919,35,2022-04-23,Gujarat Titans v Kolkata Knight Riders,Mumbai,Gujarat Titans won by 8 Runs,MatchScorecard.asp?MatchCode=0919,2022.0,Gujarat Titans,8 Runs,Saturday,April,2022,Gujarat Titans,Kolkata Knight Riders
920,36,2022-04-23,Royal Challengers Bengaluru v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 9 Wickets,MatchScorecard.asp?MatchCode=0920,2022.0,Sunrisers Hyderabad,9 Wickets,Saturday,April,2022,Royal Challengers Bengaluru,Sunrisers Hyderabad
921,37,2022-04-24,Mumbai Indians v Lucknow Super Giants,Mumbai,Lucknow Super Giants won by 36 Runs,MatchScorecard.asp?MatchCode=0921,2022.0,Lucknow Super Giants,36 Runs,Sunday,April,2022,Mumbai Indians,Lucknow Super Giants
922,38,2022-04-25,Chennai Super Kings v Punjab Kings,Mumbai,Punjab Kings won by 11 Runs,MatchScorecard.asp?MatchCode=0922,2022.0,Punjab Kings,11 Runs,Monday,April,2022,Chennai Super Kings,Punjab Kings
923,39,2022-04-26,Rajasthan Royals v Royal Challengers Bengaluru,Pune,Rajasthan Royals won by 29 Runs,MatchScorecard.asp?MatchCode=0923,2022.0,Rajasthan Royals,29 Runs,Tuesday,April,2022,Rajasthan Royals,Royal Challengers Bengaluru
924,40,2022-04-27,Gujarat Titans v Sunrisers Hyderabad,Mumbai,Gujarat Titans won by 5 Wickets,MatchScorecard.asp?MatchCode=0924,2022.0,Gujarat Titans,5 Wickets,Wednesday,April,2022,Gujarat Titans,Sunrisers Hyderabad
925,41,2022-04-28,Delhi Capitals v Kolkata Knight Riders,Mumbai,Delhi Capitals won by 4 Wickets,MatchScorecard.asp?MatchCode=0925,2022.0,Delhi Capitals,4 Wickets,Thursday,April,2022,Delhi Capitals,Kolkata Knight Riders
926,42,2022-04-29,Lucknow Super Giants v Punjab Kings,Pune,Lucknow Super Giants won by 20 Runs,MatchScorecard.asp?MatchCode=0926,2022.0,Lucknow Super Giants,20 Runs,Friday,April,2022,Lucknow Super Giants,Punjab Kings
927,43,2022-04-30,Gujarat Titans v Royal Challengers Bengaluru,Mumbai,Gujarat Titans won by 6 Wickets,MatchScorecard.asp?MatchCode=0927,2022.0,Gujarat Titans,6 Wickets,Saturday,April,2022,Gujarat Titans,Royal Challengers Bengaluru
928,44,2022-04-30,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 5 Wickets,MatchScorecard.asp?MatchCode=0928,2022.0,Mumbai Indians,5 Wickets,Saturday,April,2022,Mumbai Indians,Rajasthan Royals
929,45,2022-05-01,Delhi Capitals v Lucknow Super Giants,Mumbai,Lucknow Super Giants won by 6 Runs,MatchScorecard.asp?MatchCode=0929,2022.0,Lucknow Super Giants,6 Runs,Sunday,May,2022,Delhi Capitals,Lucknow Super Giants
930,46,2022-05-01,Chennai Super Kings v Sunrisers Hyderabad,Pune,Chennai Super Kings won by 13 Runs,MatchScorecard.asp?MatchCode=0930,2022.0,Chennai Super Kings,13 Runs,Sunday,May,2022,Chennai Super Kings,Sunrisers Hyderabad
931,47,2022-05-02,Kolkata Knight Riders v Rajasthan Royals,Mumbai,Kolkata Knight Riders won by 7 Wickets,MatchScorecard.asp?MatchCode=0931,2022.0,Kolkata Knight Riders,7 Wickets,Monday,May,2022,Kolkata Knight Riders,Rajasthan Royals
932,48,2022-05-03,Gujarat Titans v Punjab Kings,Mumbai,Punjab Kings won by 8 Wickets,MatchScorecard.asp?MatchCode=0932,2022.0,Punjab Kings,8 Wickets,Tuesday,May,2022,Gujarat Titans,Punjab Kings
933,49,2022-05-04,Chennai Super Kings v Royal Challengers Bengaluru,Pune,Royal Challengers Bengaluru won by 13 Runs,MatchScorecard.asp?MatchCode=0933,2022.0,Royal Challengers Bengaluru,13 Runs,Wednesday,May,2022,Chennai Super Kings,Royal Challengers Bengaluru
934,50,2022-05-05,Delhi Capitals v Sunrisers Hyderabad,Mumbai,Delhi Capitals won by 21 Runs,MatchScorecard.asp?MatchCode=0934,2022.0,Delhi Capitals,21 Runs,Thursday,May,2022,Delhi Capitals,Sunrisers Hyderabad
935,51,2022-05-06,Gujarat Titans v Mumbai Indians,Mumbai,Mumbai Indians won by 5 Runs,MatchScorecard.asp?MatchCode=0935,2022.0,Mumbai Indians,5 Runs,Friday,May,2022,Gujarat Titans,Mumbai Indians
936,52,2022-05-07,Punjab Kings v Rajasthan Royals,Mumbai,Rajasthan Royals won by 6 Wickets,MatchScorecard.asp?MatchCode=0936,2022.0,Rajasthan Royals,6 Wickets,Saturday,May,2022,Punjab Kings,Rajasthan Royals
937,53,2022-05-07,Kolkata Knight Riders v Lucknow Super Giants,Pune,Lucknow Super Giants won by 75 Runs,MatchScorecard.asp?MatchCode=0937,2022.0,Lucknow Super Giants,75 Runs,Saturday,May,2022,Kolkata Knight Riders,Lucknow Super Giants
938,54,2022-05-08,Royal Challengers Bengaluru v Sunrisers Hyderabad,Mumbai,Royal Challengers Bengaluru won by 67 Runs,MatchScorecard.asp?MatchCode=0938,2022.0,Royal Challengers Bengaluru,67 Runs,Sunday,May,2022,Royal Challengers Bengaluru,Sunrisers Hyderabad
939,55,2022-05-08,Chennai Super Kings v Delhi Capitals,Mumbai,Chennai Super Kings won by 91 Runs,MatchScorecard.asp?MatchCode=0939,2022.0,Chennai Super Kings,91 Runs,Sunday,May,2022,Chennai Super Kings,Delhi Capitals
940,56,2022-05-09,Kolkata Knight Riders v Mumbai Indians,Mumbai,Kolkata Knight Riders won by 52 Runs,MatchScorecard.asp?MatchCode=0940,2022.0,Kolkata Knight Riders,52 Runs,Monday,May,2022,Kolkata Knight Riders,Mumbai Indians
941,57,2022-05-10,Gujarat Titans v Lucknow Super Giants,Pune,Gujarat Titans won by 62 Runs,MatchScorecard.asp?MatchCode=0941,2022.0,Gujarat Titans,62 Runs,Tuesday,May,2022,Gujarat Titans,Lucknow Super Giants
942,58,2022-05-11,Delhi Capitals v Rajasthan Royals,Mumbai,Delhi Capitals won by 8 Wickets,MatchScorecard.asp?MatchCode=0942,2022.0,Delhi Capitals,8 Wickets,Wednesday,May,2022,Delhi Capitals,Rajasthan Royals
943,59,2022-05-12,Chennai Super Kings v Mumbai Indians,Mumbai,Mumbai Indians won by 5 Wickets,MatchScorecard.asp?MatchCode=0943,2022.0,Mumbai Indians,5 Wickets,Thursday,May,2022,Chennai Super Kings,Mumbai Indians
944,60,2022-05-13,Punjab Kings v Royal Challengers Bengaluru,Mumbai,Punjab Kings won by 54 Runs,MatchScorecard.asp?MatchCode=0944,2022.0,Punjab Kings,54 Runs,Friday,May,2022,Punjab Kings,Royal Challengers Bengaluru
945,61,2022-05-14,Kolkata Knight Riders v Sunrisers Hyderabad,Pune,Kolkata Knight Riders won by 54 Runs,MatchScorecard.asp?MatchCode=0945,2022.0,Kolkata Knight Riders,54 Runs,Saturday,May,2022,Kolkata Knight Riders,Sunrisers Hyderabad
946,62,2022-05-15,Chennai Super Kings v Gujarat Titans,Mumbai,Gujarat Titans won by 7 Wickets,MatchScorecard.asp?MatchCode=0946,2022.0,Gujarat Titans,7 Wickets,Sunday,May,2022,Chennai Super Kings,Gujarat Titans
947,63,2022-05-15,Lucknow Super Giants v Rajasthan Royals,Mumbai,Rajasthan Royals won by 24 Runs,MatchScorecard.asp?MatchCode=0947,2022.0,Rajasthan Royals,24 Runs,Sunday,May,2022,Lucknow Super Giants,Rajasthan Royals
948,64,2022-05-16,Delhi Capitals v Punjab Kings,Mumbai,Delhi Capitals won by 17 Runs,MatchScorecard.asp?MatchCode=0948,2022.0,Delhi Capitals,17 Runs,Monday,May,2022,Delhi Capitals,Punjab Kings
949,65,2022-05-17,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 3 Runs,MatchScorecard.asp?MatchCode=0949,2022.0,Sunrisers Hyderabad,3 Runs,Tuesday,May,2022,Mumbai Indians,Sunrisers Hyderabad
950,66,2022-05-18,Kolkata Knight Riders v Lucknow Super Giants,Mumbai,Lucknow Super Giants won by 2 Runs,MatchScorecard.asp?MatchCode=0950,2022.0,Lucknow Super Giants,2 Runs,Wednesday,May,2022,Kolkata Knight Riders,Lucknow Super Giants
